Latitude,Longitude,Temperature(F),Humidity%,Clouds%,Wind Speed(mph)
43.19,-112.35,58.64,56,40,8.05
-27.58,153.3,75.85,56,20,18.34
-31.97,141.45,60.62,93,20,20.49
41.21,36.97,62.6,88,75,2.24
63.59,-135.9,32.0,83,40,0.58
30.44,-84.28,73.85,94,20,4.38
-36.72,-73.12,57.2,47,0,14.99
15.44,119.9,82.94,84,8,5.95
45.15,38.14,59.0,77,92,2.24
2.67,72.89,82.4,100,36,23.29
14.97,8.88,77.63,56,56,2.26
0.53,72.93,81.14,100,64,20.04
5.43,7.07,73.31,99,76,2.93
13.72,123.58,82.76,94,24,4.72
63.61,40.52,33.35,92,56,4.94
-20.77,117.15,98.15,17,12,7.29
52.31,-1.94,54.07,93,0,4.7
46.12,-70.67,40.46,89,48,2.82
-22.14,48.01,67.73,99,64,7.52
40.8,-124.16,55.67,86,90,5.17
1.98,32.53,63.77,100,56,4.05
63.9,122.77,40.1,74,44,7.07
53.07,76.1,42.71,77,0,8.75
-22.12,14.28,59.63,91,0,7.96
39.61,-119.25,54.9,76,75,11.41
-17.34,-39.22,77.36,97,12,15.79
33.2,120.46,75.56,66,8,11.88
27.59,91.87,53.51,43,0,1.48
2.18,-73.79,73.49,92,0,1.59
58.44,26.57,42.8,87,90,13.87
11.24,-74.21,80.6,94,40,6.93
36.9,-104.44,69.64,50,75,12.75
26.33,43.97,68.0,40,0,3.36
-3.7,-45.5,78.71,75,8,6.51
24.09,32.9,84.2,30,0,8.05
53.27,140.15,55.31,55,0,8.41
50.38,103.29,25.88,67,88,13.78
-7.3,-38.15,81.86,41,80,8.41
67.68,53.15,38.84,98,64,15.12
67.67,12.69,42.71,100,56,6.62
-23.7,133.88,75.2,31,0,13.87
0.54,123.06,88.88,55,24,3.71
61.28,108.01,38.84,61,64,6.73
-24.69,44.75,61.16,94,92,3.15
14.8,74.13,77.18,85,8,2.48
50.08,16.94,42.17,89,8,8.75
10.49,-68.2,69.98,91,8,2.48
-24.43,26.02,59.0,41,0,9.17
42.57,-114.46,60.75,68,20,3.36
34.88,-76.9,75.47,87,1,9.31
33.19,-82.53,75.52,87,90,5.61
-4.26,-55.99,77.72,84,0,1.92
3.81,43.25,68.81,84,0,10.87
-41.67,174.07,60.26,71,8,12.21
21.28,-88.27,76.73,91,20,4.5
48.55,-109.68,32.0,18,1,4.7
23.6,72.96,80.6,78,0,3.71
47.78,26.0,46.0,75,0,8.05
30.37,-88.56,79.07,100,1,4.5
5.26,-0.76,75.11,97,12,5.95
63.45,120.31,41.36,69,64,8.19
