Latitude,Longitude,Temperature(F),Humidity%,Clouds%,Wind Speed(mph)
18.74,7.39,72.23,41,8,2.82
46.12,-70.67,40.46,89,48,2.82
65.8,87.96,33.35,93,76,18.92
-46.28,169.85,46.04,100,92,12.21
-28.77,32.06,57.83,99,100,13.89
68.36,-133.71,26.6,73,90,12.75
-25.18,46.09,63.86,100,0,6.4
59.7,30.79,42.8,87,75,11.18
61.92,159.24,47.12,91,20,14.0
59.4,48.97,46.13,98,92,8.63
-10.46,161.92,82.22,100,8,11.99
20.89,-156.47,82.56,67,40,17.22
69.38,178.42,40.37,87,24,11.32
62.16,-7.17,48.2,93,88,13.87
-4.58,-81.27,67.28,86,88,6.96
-30.17,-50.22,54.86,92,24,4.61
71.97,114.09,29.93,92,64,12.44
-0.39,-78.55,53.6,87,75,3.36
-21.21,-159.78,77.0,47,40,13.87
50.7,-127.42,48.2,70,75,4.7
28.5,-13.86,72.59,73,0,4.7
73.51,80.55,38.03,100,76,19.04
5.35,48.53,75.38,93,12,12.33
60.14,-45.24,35.78,96,24,20.49
52.53,111.54,52.61,63,0,5.39
13.64,-88.78,79.7,83,0,2.24
48.68,71.64,40.1,60,0,5.95
-25.24,130.99,73.4,38,0,14.99
31.51,77.79,26.78,86,80,0.69
6.23,-77.4,77.18,100,92,4.05
-12.58,13.4,68.63,99,0,2.71
65.42,-52.9,31.46,100,88,5.28
-45.87,170.5,55.58,86,100,8.08
28.66,-17.92,71.6,78,68,6.93
-28.95,153.24,76.91,62,76,3.38
-17.99,-46.9,69.08,85,48,2.37
43.74,-81.71,67.37,90,20,23.96
50.74,33.49,44.69,89,88,19.26
-2.02,147.27,84.47,100,24,2.59
-14.92,-42.81,73.49,56,8,8.3
7.98,49.82,73.94,98,24,11.21
30.04,-94.42,78.57,95,1,4.38
-26.98,-56.83,65.21,85,8,7.85
14.94,120.6,83.64,78,75,4.7
13.06,5.24,72.68,87,36,1.92
64.25,-15.21,45.59,100,92,15.9
35.55,133.23,70.63,56,75,17.22
26.25,105.93,56.48,88,88,4.61
39.31,-74.98,65.93,90,1,3.36
60.91,-46.05,35.6,55,12,5.82
55.74,-97.86,30.2,54,40,13.87
40.14,-84.24,75.38,73,1,14.99
47.66,-52.73,44.6,81,90,12.75
6.8,-58.16,77.0,94,0,4.7
45.52,-122.67,59.83,44,90,5.82
54.32,-130.32,51.8,50,1,4.7
25.21,64.64,78.62,80,0,5.95
-1.71,-47.89,77.0,86,24,6.29
59.78,5.5,46.4,87,92,12.75
49.78,-74.86,46.4,93,90,16.11
29.14,21.3,82.67,29,76,11.54
-32.72,152.14,64.4,100,90,18.34
51.68,102.13,25.16,69,88,3.6
57.8,158.67,43.7,92,92,9.42
71.64,128.87,28.13,96,12,4.83
42.84,93.51,56.21,43,0,5.73
26.96,56.27,83.34,83,20,4.7
70.62,147.9,31.73,100,80,11.1
-51.62,-69.22,42.8,60,20,25.28
66.94,-53.67,28.4,94,88,4.38
49.81,20.51,44.6,87,40,11.41
33.97,36.66,66.2,48,0,4.7
43.13,-80.75,58.96,93,20,8.05
-9.0,125.65,86.81,42,0,1.14
31.68,38.65,75.2,29,40,4.7
65.58,-170.99,47.03,87,92,21.83
60.37,93.04,34.61,87,80,3.15
-0.6,73.08,83.03,100,80,23.06
68.75,161.3,36.05,88,88,7.18
20.2,1.01,66.2,30,0,8.19
-17.73,-39.27,77.36,100,36,16.58
35.24,129.21,71.6,64,75,13.87
-33.01,-68.8,59.0,51,0,3.36
3.07,172.79,85.1,100,8,6.4
9.49,50.81,76.1,98,12,4.94
-22.97,-42.02,75.2,83,75,3.36
-10.16,123.6,87.8,52,20,4.7
-26.65,15.16,66.2,53,0,23.73
5.38,-52.96,82.04,92,0,12.66
54.94,10.71,50.0,87,48,6.93
9.86,-66.38,76.82,80,56,7.85
5.24,-5.0,74.3,97,80,3.71
-9.8,37.92,67.28,84,92,3.04
-46.13,167.69,46.94,100,68,9.86
62.23,-6.59,48.2,93,92,16.11
38.18,-1.13,61.81,82,0,2.24
52.52,13.39,46.4,87,0,8.05
21.35,-158.09,84.49,59,75,9.17
3.01,34.12,60.35,89,0,7.29
55.15,26.17,42.08,96,92,26.08
17.01,54.1,73.4,78,0,3.36
57.63,92.27,40.46,91,76,5.17
39.36,-9.38,61.7,28,0,3.36
-9.17,-60.63,76.1,94,8,2.04
18.39,42.45,64.4,34,0,2.71
-19.55,169.27,73.31,100,76,9.64
36.84,140.74,64.4,77,75,3.36
58.36,82.83,46.85,68,80,12.1
28.3,74.97,77.36,55,24,4.61
25.02,37.27,76.46,100,0,1.92
-19.53,45.46,58.64,78,0,2.26
46.42,3.91,46.4,93,90,4.94
20.76,-156.45,82.6,67,40,17.22
-28.65,153.62,75.2,60,32,18.34
-4.23,-44.78,77.81,76,0,11.1
-3.71,-38.6,78.8,78,20,10.29
63.05,179.32,46.22,99,92,16.24
-3.36,135.5,76.28,88,80,1.14
53.07,132.94,55.76,42,0,5.95
2.02,112.94,83.93,80,24,2.93
-34.48,-54.34,47.84,60,0,4.16
31.8,34.94,77.0,78,40,2.24
21.46,-71.14,82.4,100,64,9.42
67.67,12.69,42.71,100,56,6.62
29.57,-97.96,78.78,79,1,5.82
4.94,-52.33,77.0,100,40,8.52
-21.64,-41.05,75.2,83,0,6.93
35.73,140.83,72.37,64,75,13.87
37.38,-6.55,68.0,68,0,3.36
70.47,-68.59,30.2,92,90,2.24
-22.35,-60.04,66.74,89,92,8.52
-2.54,-57.76,79.25,77,0,4.38
69.22,-51.1,23.0,73,80,4.61
39.26,-84.82,75.72,73,1,3.36
56.6,84.88,46.4,67,80,6.4
32.52,-93.77,78.57,89,1,4.72
69.3,139.9,28.58,89,24,4.05
57.22,94.9,40.46,83,92,6.06
-17.83,-149.27,82.4,58,40,9.17
-25.41,-70.49,55.31,93,76,1.36
13.22,-59.52,82.4,78,40,10.29
45.43,40.58,59.54,95,92,7.85
-4.34,152.27,80.69,100,68,3.04
46.45,135.83,60.8,49,0,2.82
66.77,123.37,35.15,100,92,3.83
41.89,12.48,63.34,72,0,5.82
-20.34,57.76,60.8,82,20,9.17
40.29,38.42,35.33,86,0,2.15
51.11,114.54,57.74,40,48,4.72
34.06,-117.19,74.61,64,75,5.82
-34.58,150.85,55.4,100,90,10.29
55.76,-120.23,38.84,41,1,8.05
47.8,67.71,39.2,48,0,8.95
34.88,-76.9,75.87,87,1,4.7
-14.99,27.06,63.95,62,0,8.97
-35.36,150.48,55.4,100,90,10.29
-6.14,24.49,68.09,97,64,3.38
35.17,-2.93,59.0,77,0,3.36
63.29,118.35,41.36,64,76,7.96
17.97,-66.91,77.0,100,1,4.7
-43.03,147.26,53.6,46,40,8.05
34.64,-120.46,67.39,72,90,5.82
-23.35,47.6,65.93,88,100,2.93
60.95,29.13,37.4,90,75,10.29
25.29,60.65,79.43,100,0,4.38
52.62,38.27,43.52,97,80,14.12
67.55,133.39,28.31,69,56,3.6
0.12,117.47,81.59,100,76,4.05
-15.1,-44.09,80.51,54,44,7.4
-32.49,137.76,57.2,62,90,14.99
-3.44,10.65,74.93,100,92,5.73
-45.58,-72.07,42.8,70,0,4.7
38.52,-28.7,72.32,99,76,10.76
63.59,-135.9,41.0,35,75,2.24
3.3,117.63,87.62,80,8,1.59
41.96,42.96,60.8,93,75,3.36
1.24,111.46,80.6,88,75,2.24
47.62,6.16,42.8,100,90,2.24
39.95,-94.76,84.02,62,1,10.29
54.05,122.9,57.2,48,0,3.6
-34.05,23.37,56.3,100,0,6.4
-2.68,111.62,86.09,82,20,6.73
52.25,79.17,44.96,68,0,8.63
53.6,91.39,41.0,86,40,4.47
35.21,-90.2,78.24,76,1,8.05
62.58,6.12,43.34,65,92,8.05
30.37,75.86,74.3,83,20,3.27
-23.13,150.74,80.6,39,0,6.93
-29.45,-50.58,53.87,99,88,2.59
-5.35,21.42,70.61,93,48,1.59
35.49,135.74,68.09,87,100,3.49
15.09,-87.97,77.0,94,75,2.24
39.62,-77.74,68.72,93,1,2.82
44.62,-65.76,62.24,92,92,7.74
-20.31,118.58,95.0,19,0,11.41
-37.83,140.78,58.91,66,0,8.19
4.71,-74.23,59.0,72,75,5.82
-11.1,-77.61,59.18,94,24,3.04
70.03,20.97,39.29,100,88,11.65
-2.3,-78.12,62.96,86,12,2.59
51.37,23.94,44.96,81,56,20.27
37.02,111.92,64.67,51,0,4.27
69.7,170.27,40.73,100,68,6.51
45.91,-122.74,61.2,53,1,8.05
14.47,-90.43,68.0,82,40,11.41
-10.88,26.6,62.42,55,8,4.05
23.57,70.65,73.49,84,12,4.5
-21.53,-64.73,59.0,72,75,5.82
50.68,156.12,47.3,96,56,21.83
-10.61,34.11,69.08,86,100,2.15
50.04,132.17,61.52,54,0,4.94
19.1,-72.7,75.38,93,92,2.93
31.71,112.27,73.94,62,0,4.94
-29.54,31.21,55.31,96,88,13.0
43.41,-124.22,53.76,80,1,6.93
18.53,-92.64,80.6,78,75,5.82
10.95,106.82,80.6,94,40,3.36
46.77,-92.13,50.31,81,75,29.97
55.06,15.13,50.0,81,36,17.22
7.62,-11.83,74.03,99,56,2.48
-3.82,122.09,83.03,55,48,2.37
57.91,26.05,42.8,87,90,13.87
50.89,35.35,43.88,91,92,17.69
-16.07,167.38,80.15,75,0,2.93
71.98,102.47,30.56,94,64,11.99
-10.62,150.67,77.63,100,44,12.77
11.28,-15.83,80.24,100,80,13.0
11.28,49.18,81.5,100,0,7.29
30.85,-116.07,60.53,98,0,3.71
-17.88,36.89,66.74,92,0,3.94
-12.18,26.4,62.15,62,24,4.27
15.79,120.99,81.41,86,8,3.04
37.57,126.98,68.72,63,40,10.29
27.91,-15.45,71.6,83,20,11.41
58.31,82.9,46.85,68,80,12.1
38.0,-86.17,77.59,85,1,4.7
-15.77,128.74,95.0,34,0,8.05
-22.12,14.28,59.63,91,0,7.96
27.15,57.07,82.4,83,20,4.7
26.58,106.71,55.4,82,90,4.47
51.55,-9.27,53.6,100,75,6.93
8.12,-63.55,85.46,57,20,12.88
11.67,92.75,86.81,94,8,6.96
61.28,108.01,38.84,61,64,6.73
4.14,96.13,77.27,100,92,3.15
-34.72,135.86,57.29,91,8,13.78
54.43,31.9,43.52,98,88,14.45
67.55,63.78,40.28,95,92,15.01
-6.53,-64.38,76.1,94,0,2.26
41.42,-6.55,46.31,86,0,4.61
62.1,126.7,41.0,64,0,5.5
37.17,-99.65,73.58,82,56,5.5
-32.25,148.6,62.6,82,90,12.75
18.69,12.92,73.04,32,0,2.59
-28.58,-70.76,55.31,68,80,2.59
61.99,-49.67,35.6,100,12,4.5
-6.94,107.75,76.82,70,0,2.71
-23.87,35.38,68.0,100,8,10.31
25.48,-107.92,85.19,66,24,5.06
-9.07,-68.66,75.56,92,8,2.04
-10.08,-38.34,71.06,80,0,10.98
41.53,-8.62,56.43,42,0,2.04
60.89,131.98,42.35,79,92,3.6
-23.78,-45.36,72.5,100,68,7.07
10.18,-14.04,73.4,99,88,1.48
32.86,59.22,51.8,34,0,6.93
13.3,19.7,77.27,71,8,8.75
-5.2,-35.46,75.83,95,100,11.99
-23.7,133.88,73.4,38,0,13.87
69.49,88.39,30.74,94,80,18.48
-19.11,33.48,63.77,97,76,6.62
-2.97,119.9,79.34,74,24,3.38
-25.17,45.06,58.73,91,36,3.38
27.18,31.19,77.0,53,0,9.17
-2.92,-39.92,75.56,88,8,11.77
40.36,-7.35,49.73,71,0,5.17
-26.26,-49.52,57.74,100,88,7.07
48.95,4.24,44.44,93,0,4.7
-5.99,-35.58,80.6,74,75,12.75
7.04,134.26,87.8,66,75,8.05
-20.73,139.49,86.0,25,0,11.41
52.47,1.45,51.28,93,0,8.05
-3.0,-47.35,76.91,88,48,4.16
37.68,31.72,47.48,100,8,2.82
44.08,-80.2,59.0,87,90,14.99
-15.0,22.67,59.99,31,0,7.52
53.19,44.05,45.32,93,88,14.79
-41.87,-73.83,41.0,87,12,5.17
22.19,77.91,81.41,71,8,4.27
70.86,29.09,36.59,100,88,15.57
49.51,-115.76,34.12,86,75,3.36
36.54,61.16,60.8,51,0,6.93
52.32,7.23,50.0,81,75,4.7
9.06,-62.05,80.6,81,8,8.52
33.19,-82.53,76.23,86,90,5.61
40.74,-114.07,62.06,64,40,4.7
34.7,138.93,71.6,78,75,19.46
50.1,23.44,44.6,87,75,11.18
33.31,-95.96,78.6,70,1,6.93
42.49,78.39,44.96,48,0,2.48
9.8,35.1,55.13,92,48,2.71
-11.38,43.28,75.2,100,0,3.94
45.52,125.08,69.98,56,0,11.43
52.47,96.11,32.0,72,76,4.27
5.79,0.9,78.8,88,40,5.82
35.24,60.63,48.2,76,0,4.16
65.17,25.5,24.8,85,0,2.24
19.89,102.14,75.2,78,20,2.24
34.73,-86.59,74.52,78,1,4.7
-0.02,109.34,82.4,83,20,5.82
63.44,-20.27,41.54,100,92,17.13
55.07,40.96,43.16,92,88,15.46
37.14,-8.45,69.8,73,0,6.93
28.26,109.7,73.31,70,0,3.94
-1.93,18.29,70.43,100,92,2.71
-13.71,-76.2,64.4,82,0,9.17
-3.75,-73.25,75.2,94,40,3.36
50.56,-96.99,35.06,99,0,14.23
17.48,73.19,79.97,100,36,4.38
8.66,38.21,46.49,86,0,4.16
10.35,107.08,80.6,94,40,3.36
62.91,6.91,42.85,93,92,8.05
63.9,122.77,40.1,74,44,7.07
45.32,55.19,58.28,47,56,6.73
-22.65,-42.51,75.2,83,75,3.36
41.28,20.71,44.51,95,32,1.7
23.99,-104.67,73.4,40,5,4.7
15.61,-13.32,79.16,70,0,2.71
44.06,-103.15,39.79,13,1,14.99
-35.34,143.56,64.13,57,0,17.69
-17.91,19.77,57.38,25,0,5.39
37.72,-25.43,69.8,83,40,6.93
16.47,107.58,84.2,74,40,10.29
24.7,70.18,73.76,90,8,4.61
5.43,7.07,73.31,99,76,2.93
6.71,-61.64,70.88,99,56,1.92
11.19,40.02,59.9,72,0,3.15
-0.42,102.29,82.58,85,24,2.93
33.83,-87.28,74.93,100,1,4.16
-5.06,31.79,67.1,90,92,5.39
67.47,78.7,41.0,96,92,11.21
-7.84,-38.1,82.49,37,88,0.92
-17.26,27.46,64.58,75,0,3.15
31.31,-92.44,77.9,90,40,6.06
-7.61,15.06,66.2,97,76,2.59
59.56,150.8,50.0,100,32,11.18
45.18,8.4,50.02,93,0,5.82
-26.79,-60.44,62.33,73,68,8.63
-8.84,-69.26,77.27,86,12,2.15
47.51,40.11,52.43,79,64,7.52
-0.91,122.88,77.0,100,92,3.94
-22.43,-151.33,70.88,100,56,16.91
11.92,109.15,76.64,100,92,9.08
53.45,125.8,59.9,51,0,4.83
-20.74,116.85,98.15,17,12,7.29
22.62,71.45,78.44,64,0,4.61
-16.11,46.64,73.4,88,0,8.08
58.67,66.57,46.04,78,92,4.72
42.87,1.37,27.14,87,0,1.36
60.4,-1.35,52.81,100,92,14.99
50.23,-63.6,46.4,93,90,13.87
68.82,-51.19,23.0,73,80,4.61
36.17,-115.15,81.45,26,40,10.29
32.76,-111.56,83.19,58,1,2.71
51.55,105.12,34.25,100,92,21.72
44.83,-0.61,51.64,87,0,2.24
-0.92,100.36,81.32,100,20,1.36
56.42,10.88,42.8,93,44,4.7
-19.93,-60.77,66.65,76,64,10.98
20.93,-17.03,78.8,57,68,13.87
57.96,102.73,39.38,66,0,4.38
49.14,20.43,37.4,69,20,4.7
-30.34,-54.32,46.85,88,12,2.71
39.33,-82.98,73.04,84,1,9.17
-37.88,147.99,54.59,100,80,8.75
39.51,54.36,57.11,76,0,2.04
-19.06,-169.92,80.6,69,75,14.99
49.68,83.3,28.4,100,90,2.71
13.64,16.49,73.76,76,0,2.93
-5.56,-80.82,67.73,87,80,10.76
18.22,-63.06,82.4,74,20,2.24
59.36,5.22,45.39,87,92,12.75
-10.07,-78.15,61.16,81,88,2.93
55.31,82.74,39.2,80,40,8.95
49.0,-64.4,48.2,93,90,6.93
14.97,8.88,77.63,56,56,2.26
-14.88,47.99,66.47,92,0,3.49
7.37,7.63,74.03,96,48,6.62
-11.66,27.48,65.66,53,44,9.64
38.8,-9.45,61.74,28,0,3.36
40.38,-104.69,64.94,49,75,17.22
58.89,5.65,45.61,81,75,8.05
-28.55,16.43,63.5,74,0,16.35
34.92,32.53,66.2,77,0,8.05
27.97,-114.04,67.91,88,0,6.96
12.24,109.19,76.64,100,92,9.08
45.62,-61.99,59.0,93,90,12.75
-23.53,148.16,83.57,35,32,5.73
51.59,-3.0,54.86,100,90,8.05
67.1,15.4,39.2,86,75,5.82
-32.25,115.77,66.25,82,40,13.87
10.74,13.8,66.56,85,0,2.59
46.13,-112.94,51.08,8,1,12.75
-20.27,57.36,60.8,82,20,9.17
57.25,58.73,45.77,78,88,6.73
39.92,-80.74,70.3,92,1,3.36
-0.7,10.22,74.48,96,48,2.04
-1.77,-55.87,85.01,54,0,5.39
-15.19,12.15,66.47,99,0,3.83
20.15,94.92,80.42,91,32,4.72
34.35,131.14,69.73,60,75,8.05
17.41,121.44,78.53,66,8,1.7
22.38,-80.85,77.0,83,0,9.17
60.75,-137.51,31.37,77,20,1.92
45.76,106.27,46.85,62,0,20.49
55.72,93.76,40.01,85,88,6.96
24.63,46.72,73.4,20,0,2.71
50.63,87.96,23.18,67,0,2.82
48.94,-125.55,51.8,66,75,6.93
-10.68,-77.82,60.89,100,68,5.28
53.4,-117.57,26.33,66,32,2.26
49.91,-109.46,14.45,66,24,2.71
-28.62,-49.03,64.04,100,100,3.15
42.9,133.91,65.3,49,0,2.59
50.44,15.35,47.61,76,0,4.7
64.56,39.82,37.4,100,90,2.24
11.14,123.72,83.21,100,56,6.85
-1.8,37.62,62.78,97,92,5.73
7.14,40.71,55.13,85,12,2.71
6.12,81.12,78.08,100,92,5.95
48.22,46.83,57.92,92,36,11.43
51.85,-105.03,31.1,74,36,8.41
35.03,10.91,62.6,67,20,4.7
29.71,107.39,65.21,88,48,3.83
25.5,-76.65,82.13,100,88,23.4
27.52,-110.01,87.8,52,5,3.94
5.66,-67.63,82.4,78,40,2.71
-24.88,146.25,82.76,31,36,11.43
8.43,4.5,73.04,95,68,4.16
21.23,-86.73,80.6,83,20,8.05
-34.18,142.16,65.21,51,0,19.04
-7.57,24.18,68.36,89,32,2.59
29.7,-9.73,66.29,95,44,1.48
34.15,135.21,68.0,82,75,5.82
1.33,-74.84,74.84,95,8,2.04
